university_id,name,established_year,ranking,country,State,City
171,Thomasburgh University,2007,160,France,Michigan,South Jenniferborough
172,Ramosfurt University,2008,1761,USA,Massachusetts,Port John
173,Cooperside University,1906,1975,Germany,Alaska,Ericaton
174,Fosterburgh University,1932,1518,Canada,Wyoming,South Erintown
175,Cynthiabury University,1979,10,France,Hawaii,Garciafurt
176,Jacquelinechester University,1934,1927,China,Nevada,Sheppardville
177,Ballmouth University,1966,796,China,North Carolina,West Kristaberg
178,Lake Ebony University,2025,470,Japan,Idaho,Lake Matthewton
179,Vincentborough University,1941,565,France,Oregon,Walterton
180,Mitchelltown University,1965,1468,Germany,New Hampshire,Johnnyside
181,Timothystad University,1852,1630,USA,Vermont,East Jonathan
182,Acostaport University,1861,1921,Australia,Utah,Michaelville
183,Jamesbury University,2006,1876,Japan,Maine,Andersonland
184,East Gabriellefort University,1934,1520,India,South Dakota,South Abigailside
185,New Brendaburgh University,1935,1695,China,Wyoming,Bobbyshire
186,Timothyfort University,1968,646,UK,Alabama,Hillshire
187,North Meganview University,1922,1966,India,Alaska,Steveside
188,Lake Amanda University,1852,965,USA,Ohio,Port Jamestown
189,Gutierrezside University,1870,1909,France,North Carolina,Grayfort
190,Dustinland University,1854,874,Japan,Louisiana,New Russell
191,Hannahmouth University,1938,993,UK,Illinois,Jorgeberg
192,Josephberg University,1935,829,Germany,New Hampshire,Jenniferview
193,North Kelly University,1886,1713,Canada,North Carolina,Port Craig
194,Lake Amandaville University,1966,866,UK,Vermont,Sanchezbury
195,Kingburgh University,1902,770,France,Kansas,Lake Summershire
196,New Gregory University,2020,133,Brazil,Kentucky,Michaelmouth
197,South Jacquelineview University,1977,183,UK,Rhode Island,Port Davidside
198,West John University,1948,914,Canada,South Dakota,South Stephenhaven
199,Ramirezmouth University,1946,1282,USA,Connecticut,Lake Peter
200,Pamelaview University,1902,978,Germany,Wyoming,Lake Amandachester
201,Lindseyfort University,1966,849,UK,Colorado,Briggsland
202,Hodgeston University,1932,793,China,Connecticut,Suttonburgh
203,Lake Summerbury University,1917,1559,Canada,Colorado,Harrisside
204,New Karen University,1947,782,Australia,Minnesota,South Davidberg
205,New Brianbury University,1893,1722,Canada,Nebraska,Michelleside
206,East Michael University,1961,150,UK,Pennsylvania,New Ericchester
207,Port Nathanview University,1990,1463,UK,Massachusetts,Josefort
208,New Chadside University,1922,1595,USA,Florida,Jacobmouth
209,Susanport University,2024,736,France,Utah,Garciamouth
210,Paulberg University,1851,1086,India,South Carolina,Tammyshire
211,Dustinbury University,1983,1383,USA,Texas,Wilsonshire
212,Morrisfurt University,1881,975,India,Michigan,New Brendatown
213,Johnbury University,1999,1760,Japan,Alabama,Michaelmouth
214,New Austinshire University,1888,17,USA,Texas,Chelseytown
215,Lake Phillip University,2006,18,USA,Mississippi,Mariafurt
216,Hortonchester University,1952,578,France,West Virginia,Lake Elizabeth
217,New Ryanville University,1954,1573,Australia,Mississippi,West Samanthaberg
218,Mckenziefort University,1886,240,Germany,Arizona,Leehaven
219,Lisaport University,1941,1337,UK,Ohio,Lake Jose
220,Laurenmouth University,1915,1729,China,South Dakota,East Christopher
221,South Johnbury University,1991,367,France,Rhode Island,Robertsborough
222,Cabrerabury University,1883,531,Brazil,Kansas,Jonathanborough
223,Port Susan University,1867,1792,Germany,Alabama,South Tonychester
224,Lake Jermaine University,1871,267,Australia,Idaho,West Sergiohaven
225,Tinahaven University,1875,1842,Japan,Oklahoma,Ruthbury
226,Carterport University,1933,359,Canada,Arizona,Tanyaland
227,Phillipshire University,1946,893,Canada,Montana,West Stevenland
228,South Jenny University,1950,357,Australia,Illinois,Lake Richard
229,Jonathanview University,1989,536,USA,Oregon,Christopherland
230,Stephanieville University,1871,1688,Germany,Colorado,Williamsview
231,Allenside University,1997,103,USA,Arizona,Ingrammouth
232,Vasquezville University,1960,1261,France,Tennessee,Tinashire
233,Joyceshire University,1922,537,India,Colorado,South Julia
234,Hillshire University,1873,960,UK,Minnesota,Port Jessicachester
235,East David University,1967,1583,USA,Connecticut,East Emily
236,New Raymond University,1910,970,China,Kansas,West Elizabeth
237,Brendafurt University,2015,1146,Australia,South Dakota,North Janeborough
238,Jessicaport University,1912,301,Brazil,Maine,New Robert
239,Jenniferton University,1872,1292,Australia,Montana,Benjaminbury
240,Michaelside University,1861,1995,China,Vermont,New Elizabeth
241,West Sherrishire University,1956,1457,Canada,California,Lake Anne
242,Debramouth University,1978,1752,China,Mississippi,Stephanieton
243,Carrieton University,2015,277,France,Michigan,Veronicamouth
244,North Eduardo University,2017,882,France,Maryland,Christensenside
245,New Michelleville University,1864,1851,Australia,North Carolina,South Jared
246,New Rachelberg University,1872,1285,UK,Pennsylvania,Nguyenport
247,North Christianmouth University,1867,424,Brazil,South Carolina,Klineside
248,North Leah University,1889,403,UK,Wyoming,Greerberg
249,Port Thomasville University,1999,1477,Brazil,Michigan,East Johnbury
250,East Jessica University,1995,1488,Japan,Louisiana,Ashleychester
251,New Stephaniefurt University,1878,721,Japan,Oregon,Finleyfort
252,West Cynthiaport University,1997,1294,UK,Rhode Island,Sherichester
253,North Jenniferhaven University,1910,1234,China,South Dakota,East Jennifer
254,Hoganview University,1971,288,USA,Virginia,North Erik
255,Tuckerburgh University,1977,1603,Brazil,Maryland,Smithland
256,North Joseph University,2012,849,Canada,Indiana,North Samanthaborough
257,Lake Ethan University,1878,290,Australia,Nevada,Martinstad
258,Gonzalezburgh University,2017,1074,Brazil,Maryland,Juliehaven
259,Jessicastad University,1997,857,Japan,Utah,South Anna
260,Port Fernando University,1948,613,Brazil,Virginia,East Rebecca
261,New Joshua University,1940,1091,Japan,New York,Gloriashire
262,South Darryl University,1952,1293,Brazil,Colorado,East Jessica
263,Jacksonchester University,1952,1082,France,Indiana,Lake Christy
264,Yatesfort University,1951,933,India,Wyoming,Smithburgh
265,East Diane University,1970,1304,France,New Hampshire,Lake Lauren
266,West Ericton University,1939,167,Germany,New Hampshire,Port Kerryview
267,Port Nathaniel University,1995,997,Japan,Indiana,Grahambury
268,Christianview University,1918,1467,Australia,Maine,West Troyview
269,Huangborough University,1996,391,Canada,Hawaii,Cooperton
270,Brendaview University,1923,928,UK,Minnesota,Lake John
271,Port Tiffany University,1939,804,Australia,West Virginia,New Erikberg
272,West Jessicafurt University,1947,241,UK,Vermont,South Anthonyhaven
273,Mitchellfort University,2025,1249,India,Georgia,East Taylor
274,Port Angelatown University,1957,1621,China,Maine,Peterstown
275,New Carriefort University,1986,613,USA,Ohio,East Davidbury
276,South Austinview University,1870,1197,UK,Indiana,North Michael
277,Lake Todd University,1903,1651,UK,Washington,Fosterside
278,New Heidi University,1950,1506,India,Texas,Clarktown
279,Robertburgh University,1968,1872,India,New Jersey,Tinamouth
280,Bradymouth University,1891,516,Germany,Arkansas,Brianville
281,Lawrenceland University,1896,68,Canada,Pennsylvania,Mannstad
282,Contrerasburgh University,1913,109,Brazil,Oregon,Webbburgh
283,New Kathrynland University,1981,333,Japan,Nevada,Jacquelinemouth
284,Kevinport University,1973,1187,India,Hawaii,Simpsonmouth
285,West Shirley University,1860,671,India,Georgia,Walterland
286,Nunezberg University,1918,232,UK,Kansas,Kevinhaven
287,South Carlosstad University,1896,1114,Australia,Michigan,Port Melissaville
288,Angelatown University,1920,168,France,New Jersey,Jimenezborough
289,Coryfort University,1935,1433,France,Maine,Port Benjamin
290,Wilsonland University,1881,514,Germany,Vermont,Colefurt
291,Floresmouth University,1978,564,Japan,Massachusetts,North Julie
292,Rodriguezmouth University,1870,830,Germany,Idaho,New Tyler
293,Robertmouth University,1959,1377,France,North Dakota,Lake Stacy
294,North Jenniferfurt University,2010,170,Japan,Nebraska,Franciscobury
295,New Reneebury University,1913,1447,Canada,Washington,Smithberg
296,Lake Jeffreymouth University,1943,576,Brazil,Idaho,Blevinshaven
297,Ericfort University,1924,1825,Japan,Idaho,Tatefurt
298,Ryanchester University,1877,984,China,Florida,North Carlosside
299,New Rebecca University,1985,1172,Japan,North Dakota,Donnamouth
300,Dannychester University,1999,1493,USA,Colorado,North Bradley
301,West Kristenville University,1870,482,India,Virginia,East Brittany
302,East Tonyport University,2021,200,UK,Kentucky,West Nathanborough
303,New Troy University,1921,282,UK,Minnesota,Davistown
304,North Christinechester University,1986,1956,Brazil,Delaware,Port Stephanieberg
305,Port Jefferyview University,1975,921,UK,Texas,Romeroland
306,Orozcochester University,1984,1189,France,Virginia,Michaelborough
307,North Sandraside University,1952,662,France,Florida,Hamiltonmouth
308,Lake Zacharymouth University,1858,1083,Brazil,Wyoming,Bruceport
309,East Wesley University,1936,1499,Brazil,Massachusetts,Bethanyport
310,Lake Gregory University,1966,1570,Germany,Iowa,East Robert
311,Hartbury University,1937,1213,Germany,Indiana,Saramouth
312,Stephenfurt University,2016,330,USA,Massachusetts,Apriltown
313,Johnberg University,2010,1493,Japan,Minnesota,Port Julieside
314,South Raymondstad University,1993,1124,France,West Virginia,Fieldsland
315,West Haydenborough University,1910,1388,Brazil,Missouri,Parkfort
316,Victoriafort University,1952,482,Germany,Arkansas,Mitchellview
317,Lake Angelaside University,1970,140,Canada,Hawaii,Taylormouth
318,Dillonmouth University,1934,1037,UK,Pennsylvania,Ashleychester
319,New Sarah University,1916,1460,UK,Louisiana,Grossborough
320,Lake Matthew University,1925,1139,Germany,Wyoming,Martinezbury
321,Lake Danielleborough University,1885,87,Canada,West Virginia,West Rhondaport
322,Port Sarah University,1917,1029,USA,Missouri,Brentbury
323,North Patrick University,1912,908,China,Colorado,New Claytonport
324,Robertstad University,1926,835,Canada,Maryland,West Tyler
325,South Rachel University,2025,1118,France,New Mexico,Trantown
326,Lake Cindy University,1984,1368,Brazil,Indiana,North Megan
327,Huynhland University,2012,969,Australia,Nevada,Jasmineberg
328,Karenhaven University,1922,903,USA,Arizona,Justinview
329,East Jamesside University,1967,598,Australia,Kansas,West Juliatown
330,West Matthew University,2022,443,UK,Indiana,Kimberlytown
331,Nicholasport University,2024,460,Japan,Oregon,Danielfurt
332,Reneebury University,2015,1345,India,Florida,Morrischester
333,North Paul University,2012,547,UK,Kansas,Lisaside
334,Jillport University,1964,290,UK,New Jersey,West Joe
335,Port Jenniferborough University,1877,454,India,Montana,Lake Christineburgh
336,Port Scottchester University,1870,572,Germany,Georgia,Steventon
337,East Kimberly University,1913,1099,France,North Dakota,South Joshua
338,Kimview University,1960,706,USA,New York,Andrewton
339,Victoriaville University,1923,449,France,Vermont,Timothyside
340,Lake Christina University,1913,420,Japan,Alaska,Port Joshua
341,Joshuaburgh University,2014,208,Canada,California,East Rachel
342,East Bethfurt University,2017,1977,UK,Indiana,New Jenniferland
343,East Dawnville University,1993,1822,Japan,Ohio,Justinton
344,South Elizabethtown University,1979,1178,Japan,Virginia,Fernandostad
345,West Sherrymouth University,1905,161,USA,Maine,Sheilastad
346,Reneebury University,2022,1503,Japan,West Virginia,North John
347,West Jeffreyview University,2015,470,Australia,Arizona,West Rachelland
348,Port Bruce University,1909,884,Australia,Delaware,Schmidtside
349,East Danamouth University,2009,1653,Germany,Maryland,East Jacquelineland
350,East Tracyshire University,2021,1947,Japan,New Jersey,East Laurenborough
351,Port Latoyabury University,1872,17,Brazil,Oklahoma,East Justinchester
352,Lake Dawn University,1946,1901,UK,Virginia,Amyfort
353,Heathermouth University,1939,1026,USA,Delaware,Lake Jacob
354,Laurahaven University,1938,616,UK,California,Thompsonborough
355,New Amyville University,1900,612,Australia,Minnesota,Lynnview
356,Smithborough University,1988,506,Canada,South Dakota,New Kylestad
357,Christopherhaven University,1934,404,UK,Massachusetts,Lake Dakota
358,West Ebony University,1922,1028,China,Nebraska,Fullermouth
359,North Laurenborough University,1968,234,USA,Indiana,West Jeremiahbury
360,New Amy University,1861,51,India,Nevada,Johnsonshire
361,Alvarezmouth University,1979,360,France,Nebraska,South Julia
362,Medinamouth University,1947,956,Canada,Maryland,Michaelchester
363,Smithland University,1958,714,India,Arizona,Johnland
364,Fitzpatrickberg University,2001,1601,UK,New York,Port Rachael
365,Lake Heatherhaven University,1955,1874,Japan,Massachusetts,Troyburgh
366,Riggsborough University,2022,1524,USA,Missouri,New Kristenchester
367,North Brandonshire University,1975,792,Australia,Utah,Madelinemouth
368,Lake Lori University,1976,1295,Japan,California,East Josephside
369,Jimenezborough University,1990,1468,France,Arkansas,Robinside
370,Johnborough University,1860,1554,Brazil,Delaware,Jonesstad
371,New Summer University,1941,177,Japan,Kansas,East Kayleehaven
372,East Jerry University,1918,1170,Japan,Connecticut,North Wendymouth
373,South Shawn University,1853,1887,UK,Hawaii,Chadfurt
374,Port Danielchester University,1920,855,USA,South Dakota,Port Allisonmouth
375,East Jeffrey University,1933,990,China,New York,North Vincentborough
376,South James University,1935,432,USA,Iowa,North Alexander
377,Meganberg University,1857,1757,Germany,Colorado,North Tracy
378,East Rachaelville University,2019,433,Australia,New Jersey,Jenniferfurt
379,Johnsontown University,1985,691,Australia,West Virginia,Marystad
380,Erinhaven University,1923,1235,France,Michigan,Jonesfort
381,North Jennifershire University,2009,1856,Australia,North Dakota,Kathrynhaven
382,Port Brandichester University,1974,52,Germany,Maine,New Amandafort
383,Priceburgh University,1854,1002,Germany,Oklahoma,Emilyberg
384,Jasonchester University,1885,146,India,Idaho,Carsonbury
385,South Barry University,1962,1782,France,Connecticut,Garciaview
386,North Maria University,1994,1554,China,Idaho,West Timothy
387,Grahamfurt University,1863,874,India,Kentucky,Lake Janet
388,Pittsmouth University,1961,1527,Japan,Colorado,Donaldview
389,Port Janetbury University,1970,1438,Brazil,Massachusetts,Gregoryborough
390,South Alicia University,1927,397,Brazil,South Carolina,South Samuelside
391,Angelaville University,1871,1039,Canada,Florida,Michaelview
392,New Daniel University,1989,999,Germany,Iowa,Port Robin
393,South Lisaside University,2025,1498,UK,New Jersey,Stevebury
394,New Cheyennefort University,1882,908,UK,Pennsylvania,Harrisfurt
395,Lake Travisfort University,1871,630,Canada,Wisconsin,Douglasmouth
396,Debrabury University,1967,1307,Brazil,Hawaii,New Craig
397,Brownburgh University,1902,406,France,Washington,Port Robertland
398,Suefort University,1864,725,Australia,Minnesota,Darleneview
399,North Samanthaland University,1997,599,Australia,Montana,East Robert
400,South Mary University,1867,1342,China,Kentucky,North Kevin
401,South Denise University,2003,1664,Canada,Arkansas,Landrystad
402,New Megan University,1972,413,China,Maine,New Rileyville
403,Dennisfort University,1878,599,Canada,Alabama,Jenniferbury
404,Rebeccaport University,2014,1054,India,Oklahoma,Lake Kellimouth
405,North Kaitlyntown University,1858,1461,UK,Vermont,Port Michaelbury
406,Nicholebury University,2006,1090,Canada,Minnesota,West Catherine
407,Michaelburgh University,1898,1173,Australia,Wyoming,West Christina
408,Choibury University,1964,888,USA,Vermont,South Jenna
409,Port Michelle University,2014,809,Brazil,Tennessee,Sarahaven
410,Sarahshire University,1934,1493,USA,Connecticut,Morsehaven
411,Butlerburgh University,2012,501,Canada,Wyoming,North Emily
412,West Anne University,1923,1913,Canada,Montana,East Jasonmouth
413,Amyberg University,1997,496,Japan,Texas,Josephside
414,Flemingport University,1896,244,Canada,Illinois,Port Helenbury
415,New Frederickmouth University,1947,95,USA,Alabama,West Wendyview
416,Port Zachary University,1994,556,USA,Connecticut,New Jenny
417,East Rodneyburgh University,1910,55,UK,Utah,Washingtonside
418,Sweeneybury University,1890,854,Germany,New York,Samanthastad
419,Mitchellshire University,2006,785,China,Arkansas,Port Amytown
420,Suzannebury University,1959,460,Australia,Michigan,Bellmouth
421,Rileybury University,1939,1821,France,Connecticut,West Gina
422,Port Joshua University,1914,218,Brazil,Montana,Michaelchester
423,Brandonshire University,1992,1274,India,Colorado,New Mary
424,Michellefurt University,1875,1327,USA,Pennsylvania,North Marissafort
425,Aprilport University,1869,1221,UK,Oregon,West Megan
426,Lauraville University,1957,1888,Australia,Ohio,Port Christopher
427,West Justin University,1940,1413,Canada,Missouri,New Tanyaville
428,East Justinmouth University,1858,481,France,Vermont,West Zacharyshire
429,East Sara University,1931,1072,France,Missouri,Davidsonmouth
430,Perryhaven University,1899,1480,Brazil,Arizona,Ashleystad
431,East Heatherchester University,1904,375,Germany,Alabama,North Aliciastad
432,Port Sarahtown University,1866,1150,Australia,Delaware,New Katrina
433,Richardbury University,1986,357,UK,California,South Kathrynland
434,Port Michaelburgh University,1887,1986,India,Minnesota,Lake Jennifershire
435,Port Victor University,1970,1919,Australia,Rhode Island,Ellenville
436,Lake Michael University,1993,1118,Canada,Tennessee,South Cynthiabury
437,Martinezton University,1879,1147,UK,Mississippi,Ballardport
438,Jenniferfort University,2007,344,Australia,Arkansas,Matthewbury
439,Howardmouth University,1983,1573,Brazil,Kansas,Harrisburgh
440,Port Barbara University,1863,210,China,Illinois,Ramirezfurt
441,Jeffreyshire University,1888,1762,UK,Indiana,North Jose
442,Shannonstad University,1933,352,Germany,Utah,Lake Tracichester
443,West Adriana University,1920,596,Australia,New York,New Ashleyfurt
444,Lake Tara University,1911,1903,India,Louisiana,Sampsonside
445,Mcdonaldfort University,1911,525,UK,Michigan,Port Wanda
446,Griffinchester University,1906,1876,India,Indiana,Davisberg
447,Port James University,2020,1580,Brazil,South Dakota,West Ian
448,Lake Margaretborough University,1976,1677,UK,Nebraska,North Davidmouth
