section_id,course_id,semester,year,instructor_id,classroom,schedule
66,884,Winter,2020,992,362-K,17:00-18:00
67,326,Fall,2020,781,238-H,14:00-15:00
68,149,Summer,2025,858,212-Y,14:00-15:00
69,94,Fall,2016,995,349-Y,9:00-10:00
70,314,Spring,2021,290,345-K,14:00-15:00
71,664,Winter,2016,362,144-U,9:00-10:00
72,768,Winter,2018,167,119-K,11:00-12:00
73,563,Winter,2017,39,453-I,10:00-11:00
74,800,Winter,2022,851,314-R,8:00-9:00
75,311,Spring,2015,745,120-F,8:00-9:00
76,456,Fall,2024,910,403-F,12:00-13:00
77,142,Summer,2024,861,125-H,17:00-18:00
78,881,Winter,2016,599,156-O,16:00-17:00
79,930,Winter,2019,793,244-P,16:00-17:00
80,2,Summer,2021,28,360-L,14:00-15:00
81,746,Winter,2021,63,469-J,17:00-18:00
82,109,Summer,2024,407,421-U,16:00-17:00
83,753,Spring,2018,324,283-O,17:00-18:00
84,591,Fall,2017,343,145-B,11:00-12:00
85,383,Spring,2023,433,354-K,10:00-11:00
86,319,Fall,2015,800,140-U,17:00-18:00
87,79,Spring,2017,747,403-D,15:00-16:00
88,864,Fall,2018,29,217-N,8:00-9:00
89,640,Winter,2021,224,206-V,9:00-10:00
90,763,Spring,2025,637,249-F,8:00-9:00
91,876,Spring,2019,378,102-L,17:00-18:00
92,438,Spring,2018,918,174-H,17:00-18:00
93,101,Fall,2023,772,141-S,10:00-11:00
94,725,Spring,2020,122,464-L,10:00-11:00
95,264,Fall,2020,179,436-U,14:00-15:00
96,990,Spring,2025,186,279-S,15:00-16:00
97,928,Winter,2016,542,411-J,11:00-12:00
98,796,Fall,2016,929,447-I,13:00-14:00
99,209,Spring,2023,705,382-F,8:00-9:00
100,388,Spring,2024,145,320-F,17:00-18:00
101,674,Summer,2018,718,320-L,16:00-17:00
102,510,Summer,2018,676,288-Z,13:00-14:00
103,430,Fall,2015,891,377-H,14:00-15:00
104,505,Fall,2019,280,276-R,15:00-16:00
105,195,Winter,2019,828,241-B,13:00-14:00
106,397,Summer,2024,232,269-U,15:00-16:00
107,726,Summer,2024,48,492-P,11:00-12:00
108,928,Spring,2016,25,216-C,15:00-16:00
109,491,Summer,2016,260,180-Y,12:00-13:00
110,911,Spring,2020,751,150-I,12:00-13:00
111,776,Summer,2023,93,147-B,16:00-17:00
112,743,Summer,2023,319,131-D,14:00-15:00
113,799,Summer,2021,455,445-F,16:00-17:00
114,443,Winter,2020,186,325-G,12:00-13:00
115,644,Fall,2018,111,337-Y,12:00-13:00
116,906,Spring,2017,528,233-R,15:00-16:00
117,386,Summer,2018,769,267-S,14:00-15:00
118,968,Summer,2023,647,404-B,17:00-18:00
119,323,Fall,2016,428,107-O,8:00-9:00
120,998,Spring,2016,894,468-B,16:00-17:00
121,126,Summer,2021,40,330-Q,8:00-9:00
122,546,Winter,2024,589,198-Z,17:00-18:00
123,766,Spring,2025,457,469-Y,11:00-12:00
124,844,Spring,2015,169,360-H,14:00-15:00
125,212,Spring,2015,759,199-D,9:00-10:00
126,176,Fall,2017,869,272-C,9:00-10:00
127,490,Spring,2017,634,348-Q,10:00-11:00
128,461,Winter,2021,249,157-L,9:00-10:00
129,108,Winter,2018,738,359-B,14:00-15:00
130,109,Fall,2024,115,122-E,9:00-10:00
131,391,Spring,2022,662,402-O,10:00-11:00
132,850,Spring,2015,52,398-U,13:00-14:00
133,585,Summer,2017,641,235-R,8:00-9:00
134,700,Summer,2024,828,229-B,17:00-18:00
135,811,Winter,2018,554,347-Y,16:00-17:00
136,176,Spring,2025,847,148-U,11:00-12:00
137,534,Spring,2018,414,336-D,9:00-10:00
138,902,Spring,2024,412,402-R,15:00-16:00
139,990,Fall,2019,864,401-G,15:00-16:00
140,4,Summer,2017,477,375-Y,17:00-18:00
141,667,Fall,2023,626,495-D,13:00-14:00
142,823,Summer,2023,571,372-T,14:00-15:00
143,727,Summer,2016,319,179-B,15:00-16:00
144,925,Winter,2023,380,304-I,14:00-15:00
145,287,Spring,2020,458,103-O,11:00-12:00
146,321,Spring,2017,389,493-G,15:00-16:00
147,742,Winter,2016,371,408-F,11:00-12:00
148,75,Fall,2016,540,395-G,16:00-17:00
149,664,Spring,2015,718,259-I,13:00-14:00
150,719,Winter,2018,911,462-E,10:00-11:00
151,725,Summer,2022,700,239-M,11:00-12:00
152,915,Fall,2021,882,481-T,16:00-17:00
153,603,Fall,2024,872,442-S,17:00-18:00
154,135,Fall,2022,607,109-Y,16:00-17:00
155,815,Winter,2015,36,370-F,11:00-12:00
156,417,Winter,2024,179,411-H,15:00-16:00
157,475,Summer,2024,772,389-O,10:00-11:00
158,682,Spring,2017,213,448-S,9:00-10:00
159,281,Winter,2024,413,317-P,11:00-12:00
160,547,Fall,2022,284,222-P,15:00-16:00
161,910,Fall,2018,472,433-G,15:00-16:00
162,900,Fall,2017,40,169-B,15:00-16:00
163,194,Summer,2015,250,319-Z,8:00-9:00
164,222,Summer,2018,818,175-U,16:00-17:00
165,89,Fall,2018,524,395-M,8:00-9:00
166,132,Fall,2016,289,275-Y,8:00-9:00
167,638,Winter,2022,514,286-P,13:00-14:00
168,741,Summer,2021,485,329-I,11:00-12:00
169,577,Winter,2020,769,268-K,16:00-17:00
170,774,Spring,2018,718,104-C,8:00-9:00
171,624,Fall,2020,703,476-M,14:00-15:00
172,91,Fall,2021,693,130-Q,11:00-12:00
173,671,Summer,2020,520,165-U,15:00-16:00
174,532,Fall,2021,94,309-M,11:00-12:00
175,586,Summer,2023,909,264-B,17:00-18:00
176,324,Spring,2024,25,494-Q,12:00-13:00
177,392,Summer,2016,100,435-R,15:00-16:00
178,318,Summer,2024,347,400-H,17:00-18:00
179,884,Spring,2023,405,496-U,14:00-15:00
180,453,Fall,2023,419,181-S,17:00-18:00
181,27,Summer,2025,5,101-Z,15:00-16:00
182,877,Spring,2025,550,194-J,17:00-18:00
183,12,Winter,2019,65,195-C,12:00-13:00
184,302,Winter,2025,207,404-Q,10:00-11:00
185,525,Winter,2015,874,255-J,16:00-17:00
186,436,Winter,2015,49,471-Z,17:00-18:00
187,989,Summer,2018,951,101-C,13:00-14:00
188,181,Winter,2025,771,474-G,15:00-16:00
189,238,Winter,2021,335,286-C,15:00-16:00
190,267,Summer,2024,257,187-A,8:00-9:00
191,598,Summer,2025,787,278-F,14:00-15:00
192,404,Winter,2021,740,211-K,10:00-11:00
193,500,Spring,2021,679,399-G,15:00-16:00
194,56,Winter,2021,480,207-R,17:00-18:00
195,652,Summer,2022,951,316-Y,12:00-13:00
196,605,Fall,2017,289,337-D,14:00-15:00
197,98,Summer,2017,68,274-Z,12:00-13:00
198,841,Fall,2017,347,464-X,16:00-17:00
199,826,Fall,2017,541,390-L,13:00-14:00
200,593,Fall,2025,188,455-T,11:00-12:00
201,259,Fall,2024,389,401-X,17:00-18:00
202,70,Summer,2025,91,340-G,11:00-12:00
203,83,Summer,2022,406,209-G,13:00-14:00
204,370,Winter,2024,520,172-C,14:00-15:00
205,707,Summer,2023,474,355-W,14:00-15:00
206,295,Summer,2023,155,408-S,15:00-16:00
207,827,Summer,2022,622,304-F,17:00-18:00
208,410,Spring,2019,112,178-G,10:00-11:00
209,23,Fall,2021,688,174-R,16:00-17:00
210,852,Fall,2020,561,428-B,14:00-15:00
211,72,Winter,2016,289,229-P,9:00-10:00
212,938,Winter,2021,308,436-X,13:00-14:00
213,369,Summer,2018,66,220-M,16:00-17:00
214,398,Spring,2016,760,264-A,15:00-16:00
215,215,Winter,2017,443,365-A,15:00-16:00
216,434,Spring,2017,327,499-F,17:00-18:00
217,830,Summer,2019,622,382-F,17:00-18:00
218,221,Winter,2019,499,412-E,8:00-9:00
219,460,Summer,2019,620,452-G,17:00-18:00
220,233,Spring,2017,355,131-E,14:00-15:00
221,671,Summer,2021,505,214-I,9:00-10:00
222,651,Winter,2023,498,271-Q,14:00-15:00
223,738,Spring,2019,382,339-S,8:00-9:00
224,340,Winter,2022,18,240-B,15:00-16:00
225,543,Summer,2025,659,215-M,14:00-15:00
226,404,Spring,2015,745,475-D,16:00-17:00
227,603,Winter,2016,299,269-C,12:00-13:00
228,724,Spring,2020,889,468-M,13:00-14:00
229,316,Spring,2023,365,233-T,12:00-13:00
230,438,Fall,2016,433,154-J,12:00-13:00
231,311,Winter,2025,821,413-E,11:00-12:00
232,638,Spring,2025,10,292-M,9:00-10:00
233,403,Winter,2016,477,222-C,16:00-17:00
234,739,Fall,2022,59,396-F,9:00-10:00
235,889,Spring,2018,742,295-C,8:00-9:00
236,934,Fall,2015,612,323-Z,15:00-16:00
237,671,Fall,2019,91,328-E,15:00-16:00
238,782,Spring,2021,390,155-G,9:00-10:00
239,265,Summer,2018,601,281-L,8:00-9:00
240,597,Summer,2018,95,406-K,15:00-16:00
241,839,Spring,2019,175,416-C,17:00-18:00
242,746,Fall,2017,736,163-S,16:00-17:00
243,557,Spring,2023,545,181-M,12:00-13:00
244,258,Summer,2024,386,212-C,16:00-17:00
245,614,Summer,2024,225,482-P,14:00-15:00
246,389,Spring,2017,812,334-T,15:00-16:00
247,874,Fall,2022,918,386-I,9:00-10:00
248,482,Fall,2017,794,334-W,14:00-15:00
249,340,Fall,2020,372,371-R,13:00-14:00
250,69,Fall,2021,626,462-F,11:00-12:00
251,834,Spring,2017,483,283-M,11:00-12:00
252,595,Fall,2019,774,205-L,16:00-17:00
253,399,Spring,2025,209,252-K,16:00-17:00
254,158,Summer,2015,178,477-B,9:00-10:00
255,516,Spring,2015,860,202-Z,8:00-9:00
256,710,Spring,2021,63,364-F,10:00-11:00
257,193,Spring,2023,725,329-K,17:00-18:00
258,30,Summer,2018,120,254-D,14:00-15:00
259,642,Winter,2018,197,209-H,15:00-16:00
260,253,Summer,2019,775,176-B,13:00-14:00
261,744,Winter,2019,161,486-V,13:00-14:00
262,525,Fall,2023,524,459-S,17:00-18:00
263,544,Summer,2024,730,300-O,16:00-17:00
264,513,Winter,2020,572,315-X,8:00-9:00
265,232,Winter,2021,407,227-U,8:00-9:00
266,591,Spring,2020,699,205-A,16:00-17:00
267,372,Summer,2021,220,143-P,8:00-9:00
268,404,Spring,2024,651,292-Z,17:00-18:00
269,367,Spring,2015,141,329-R,17:00-18:00
270,953,Spring,2017,612,176-A,11:00-12:00
271,821,Spring,2015,995,389-K,10:00-11:00
272,722,Spring,2025,33,408-E,9:00-10:00
273,679,Summer,2016,814,391-B,13:00-14:00
274,889,Winter,2019,873,125-C,17:00-18:00
275,155,Winter,2018,164,327-P,9:00-10:00
276,808,Fall,2017,918,311-J,13:00-14:00
277,775,Fall,2016,116,320-Y,9:00-10:00
278,518,Fall,2025,701,403-T,8:00-9:00
279,814,Winter,2018,634,477-G,14:00-15:00
280,137,Winter,2022,21,367-P,8:00-9:00
281,509,Fall,2015,93,313-W,13:00-14:00
282,122,Summer,2015,534,156-J,14:00-15:00
283,117,Fall,2019,361,183-S,12:00-13:00
284,875,Fall,2021,656,235-F,16:00-17:00
285,120,Winter,2020,97,427-D,17:00-18:00
286,20,Summer,2023,50,397-B,17:00-18:00
287,26,Winter,2015,324,295-S,15:00-16:00
288,959,Summer,2021,599,413-R,14:00-15:00
289,614,Summer,2024,909,245-R,17:00-18:00
290,229,Fall,2018,735,477-J,11:00-12:00
291,53,Winter,2016,498,364-B,16:00-17:00
292,200,Fall,2023,266,196-X,9:00-10:00
293,423,Summer,2021,773,149-Z,16:00-17:00
294,655,Summer,2025,142,339-B,9:00-10:00
295,423,Winter,2023,532,474-V,11:00-12:00
296,825,Winter,2017,206,497-Z,9:00-10:00
297,277,Summer,2024,641,260-F,8:00-9:00
298,701,Fall,2021,368,104-X,10:00-11:00
299,953,Winter,2019,936,374-W,8:00-9:00
300,51,Spring,2017,73,229-K,10:00-11:00
301,739,Winter,2020,565,371-B,11:00-12:00
302,938,Winter,2020,901,194-E,12:00-13:00
303,984,Summer,2015,874,384-N,13:00-14:00
304,975,Summer,2022,33,104-C,16:00-17:00
305,641,Spring,2023,952,360-R,9:00-10:00
306,243,Winter,2016,815,387-X,16:00-17:00
307,112,Winter,2015,689,455-M,9:00-10:00
308,35,Summer,2025,717,133-N,14:00-15:00
309,365,Winter,2020,63,215-I,16:00-17:00
310,724,Fall,2025,252,334-J,16:00-17:00
311,129,Winter,2017,560,299-K,17:00-18:00
312,254,Summer,2021,911,299-F,9:00-10:00
313,107,Spring,2023,555,304-C,15:00-16:00
314,77,Fall,2025,934,415-F,8:00-9:00
315,975,Winter,2021,882,207-A,9:00-10:00
316,597,Summer,2021,938,293-I,15:00-16:00
317,290,Summer,2016,305,184-E,8:00-9:00
318,667,Winter,2020,506,414-P,9:00-10:00
319,804,Summer,2016,115,109-U,16:00-17:00
320,83,Summer,2016,898,147-P,16:00-17:00
321,933,Fall,2024,958,297-H,17:00-18:00
322,922,Fall,2020,747,127-P,17:00-18:00
323,745,Winter,2018,150,231-Z,11:00-12:00
324,388,Summer,2022,797,310-A,11:00-12:00
325,33,Summer,2021,983,249-D,9:00-10:00
326,112,Spring,2023,522,425-D,11:00-12:00
327,9,Fall,2022,237,495-U,14:00-15:00
328,416,Winter,2021,38,303-U,17:00-18:00
329,256,Fall,2015,976,455-B,13:00-14:00
330,591,Fall,2024,838,396-M,11:00-12:00
331,270,Fall,2022,44,424-Z,11:00-12:00
332,857,Winter,2019,938,466-F,11:00-12:00
333,551,Summer,2024,760,152-M,13:00-14:00
334,837,Summer,2018,581,405-L,13:00-14:00
335,676,Fall,2016,848,235-P,10:00-11:00
336,124,Summer,2023,107,430-D,8:00-9:00
337,6,Fall,2025,533,394-H,14:00-15:00
338,394,Spring,2017,704,416-S,10:00-11:00
339,982,Fall,2023,970,252-T,16:00-17:00
340,435,Spring,2022,331,318-D,15:00-16:00
341,597,Winter,2016,326,486-G,16:00-17:00
342,89,Fall,2024,695,477-L,13:00-14:00
343,976,Spring,2023,830,272-H,10:00-11:00
344,956,Fall,2015,268,408-S,8:00-9:00
345,767,Fall,2022,622,267-Z,10:00-11:00
346,501,Winter,2023,369,165-K,15:00-16:00
347,133,Fall,2018,311,130-M,14:00-15:00
348,495,Fall,2022,986,389-L,16:00-17:00
349,811,Winter,2023,842,455-Q,8:00-9:00
350,85,Winter,2019,516,181-A,10:00-11:00
351,663,Winter,2019,230,268-D,10:00-11:00
352,575,Fall,2017,755,432-R,11:00-12:00
353,439,Winter,2025,983,148-R,8:00-9:00
354,384,Winter,2020,680,109-E,16:00-17:00
355,59,Winter,2023,679,102-V,10:00-11:00
356,139,Spring,2017,630,256-E,17:00-18:00
357,466,Winter,2025,141,196-W,17:00-18:00
358,300,Fall,2021,424,423-L,14:00-15:00
359,483,Spring,2017,2,397-Q,13:00-14:00
360,825,Fall,2021,304,469-I,10:00-11:00
361,380,Summer,2024,721,481-P,8:00-9:00
362,457,Spring,2020,409,477-X,12:00-13:00
363,725,Fall,2025,221,186-C,9:00-10:00
364,516,Spring,2017,712,225-C,15:00-16:00
365,791,Winter,2023,682,494-Y,16:00-17:00
366,849,Spring,2019,215,300-O,14:00-15:00
367,342,Fall,2023,403,351-M,17:00-18:00
368,235,Winter,2021,579,464-N,10:00-11:00
369,49,Fall,2017,957,469-Y,10:00-11:00
370,117,Winter,2023,447,498-O,8:00-9:00
371,896,Summer,2022,395,181-L,8:00-9:00
372,250,Spring,2022,546,441-Y,14:00-15:00
373,113,Fall,2017,516,358-U,9:00-10:00
374,578,Spring,2021,10,118-E,12:00-13:00
375,215,Spring,2023,758,162-R,17:00-18:00
376,854,Summer,2017,54,143-X,8:00-9:00
377,466,Winter,2025,970,430-Y,11:00-12:00
378,840,Summer,2025,920,406-M,9:00-10:00
379,28,Fall,2021,13,463-T,15:00-16:00
380,205,Spring,2018,690,101-E,13:00-14:00
381,516,Summer,2024,830,235-P,8:00-9:00
382,49,Spring,2020,642,364-J,11:00-12:00
383,260,Spring,2019,460,207-I,10:00-11:00
384,268,Winter,2015,338,407-K,8:00-9:00
385,64,Winter,2021,709,178-W,13:00-14:00
386,938,Winter,2017,206,474-X,8:00-9:00
387,893,Spring,2018,480,454-Y,9:00-10:00
388,123,Spring,2015,644,399-V,14:00-15:00
389,502,Winter,2016,104,115-U,9:00-10:00
390,386,Fall,2021,979,103-T,11:00-12:00
391,523,Spring,2017,166,121-S,16:00-17:00
392,875,Winter,2015,552,362-P,17:00-18:00
393,774,Summer,2025,896,300-H,17:00-18:00
394,656,Spring,2020,881,465-J,16:00-17:00
395,747,Spring,2024,18,346-O,13:00-14:00
396,922,Summer,2025,891,215-T,10:00-11:00
397,573,Spring,2023,696,473-Y,9:00-10:00
398,22,Winter,2018,573,307-D,9:00-10:00
399,884,Spring,2025,216,240-C,16:00-17:00
400,851,Winter,2017,29,457-U,14:00-15:00
401,20,Winter,2023,455,312-H,12:00-13:00
402,835,Fall,2023,579,253-X,16:00-17:00
403,299,Summer,2021,504,210-F,14:00-15:00
404,958,Summer,2018,274,324-I,14:00-15:00
405,521,Fall,2016,146,225-A,14:00-15:00
406,733,Summer,2018,281,372-H,13:00-14:00
407,949,Spring,2015,419,132-K,13:00-14:00
408,335,Spring,2022,475,280-K,14:00-15:00
409,921,Winter,2015,567,227-I,14:00-15:00
410,70,Summer,2023,816,464-K,15:00-16:00
411,339,Fall,2016,816,202-G,14:00-15:00
412,77,Spring,2021,37,115-X,15:00-16:00
413,267,Winter,2020,702,302-H,13:00-14:00
414,848,Winter,2018,395,463-M,8:00-9:00
415,162,Winter,2021,528,198-A,12:00-13:00
416,555,Winter,2021,889,336-H,11:00-12:00
417,463,Fall,2022,64,110-A,9:00-10:00
418,691,Summer,2018,833,262-A,12:00-13:00
419,126,Winter,2025,661,138-Z,12:00-13:00
420,62,Spring,2018,904,498-O,12:00-13:00
421,544,Spring,2024,324,482-M,10:00-11:00
422,375,Spring,2020,556,273-H,9:00-10:00
423,470,Winter,2016,708,106-O,9:00-10:00
424,650,Winter,2019,473,292-T,11:00-12:00
425,290,Spring,2016,491,217-T,16:00-17:00
426,575,Summer,2020,766,137-A,14:00-15:00
427,444,Fall,2021,341,468-Q,17:00-18:00
428,783,Summer,2023,369,181-N,16:00-17:00
429,358,Fall,2020,65,343-O,16:00-17:00
430,223,Spring,2021,838,282-J,16:00-17:00
431,789,Winter,2023,995,439-F,16:00-17:00
432,646,Spring,2023,747,181-Y,9:00-10:00
433,210,Winter,2015,928,172-W,15:00-16:00
434,728,Spring,2019,624,206-S,8:00-9:00
435,593,Winter,2019,710,300-G,11:00-12:00
436,799,Fall,2020,245,469-T,10:00-11:00
437,310,Summer,2019,129,226-L,10:00-11:00
438,48,Spring,2016,210,434-T,13:00-14:00
439,617,Spring,2021,620,411-J,12:00-13:00
440,845,Spring,2021,127,112-D,10:00-11:00
441,265,Fall,2023,50,105-B,14:00-15:00
442,998,Summer,2017,450,329-S,8:00-9:00
443,276,Summer,2019,263,269-I,14:00-15:00
444,145,Winter,2023,639,360-J,15:00-16:00
445,520,Spring,2021,963,111-K,17:00-18:00
446,746,Fall,2019,291,388-I,9:00-10:00
447,856,Winter,2018,75,466-T,17:00-18:00
448,48,Summer,2016,442,137-V,11:00-12:00
449,197,Summer,2018,141,118-U,16:00-17:00
450,361,Fall,2018,676,262-S,10:00-11:00
451,282,Spring,2018,701,162-T,12:00-13:00
452,589,Winter,2024,799,251-S,13:00-14:00
453,92,Summer,2017,107,153-G,11:00-12:00
454,321,Summer,2016,67,208-O,8:00-9:00
455,305,Summer,2015,535,225-K,8:00-9:00
456,851,Fall,2016,345,325-Y,11:00-12:00
457,847,Fall,2023,692,197-X,14:00-15:00
458,396,Spring,2019,830,251-M,9:00-10:00
459,391,Spring,2017,328,282-B,16:00-17:00
460,699,Fall,2016,707,100-V,14:00-15:00
461,864,Spring,2021,765,273-C,11:00-12:00
462,776,Summer,2024,265,231-I,16:00-17:00
463,746,Spring,2017,395,295-C,8:00-9:00
464,443,Summer,2024,16,353-L,13:00-14:00
465,855,Summer,2019,885,243-E,16:00-17:00
466,928,Winter,2020,757,487-S,16:00-17:00
467,54,Spring,2024,615,152-O,9:00-10:00
468,809,Fall,2019,314,272-L,16:00-17:00
469,54,Winter,2018,394,170-R,16:00-17:00
470,378,Summer,2015,852,109-T,11:00-12:00
471,177,Fall,2021,700,347-R,15:00-16:00
472,329,Fall,2018,48,193-J,11:00-12:00
473,697,Winter,2017,422,296-S,10:00-11:00
474,385,Fall,2022,359,270-J,9:00-10:00
475,639,Spring,2021,746,444-W,15:00-16:00
476,670,Spring,2021,157,244-Y,14:00-15:00
477,745,Summer,2024,853,376-R,12:00-13:00
478,45,Fall,2020,814,194-S,10:00-11:00
479,121,Fall,2021,803,151-Q,15:00-16:00
480,656,Winter,2017,348,280-M,16:00-17:00
481,783,Summer,2017,714,108-H,10:00-11:00
482,632,Winter,2017,30,448-V,11:00-12:00
483,843,Spring,2015,416,292-E,13:00-14:00
484,912,Fall,2024,467,429-Z,11:00-12:00
485,521,Spring,2016,136,203-F,11:00-12:00
486,578,Summer,2021,346,425-Q,8:00-9:00
487,546,Summer,2017,75,270-M,12:00-13:00
488,292,Summer,2023,921,487-I,17:00-18:00
489,191,Winter,2021,96,270-Q,17:00-18:00
490,531,Fall,2017,424,399-H,16:00-17:00
491,943,Fall,2025,451,228-S,14:00-15:00
492,680,Spring,2025,522,255-S,9:00-10:00
493,188,Winter,2024,355,241-H,13:00-14:00
494,72,Winter,2022,82,291-I,15:00-16:00
495,508,Summer,2024,894,437-P,11:00-12:00
496,527,Summer,2020,723,295-Y,12:00-13:00
497,38,Summer,2024,428,157-T,12:00-13:00
498,71,Winter,2021,495,464-Y,16:00-17:00
499,824,Spring,2024,765,411-K,17:00-18:00
500,583,Summer,2022,440,474-E,17:00-18:00
501,166,Summer,2021,618,470-C,14:00-15:00
502,474,Spring,2016,494,416-M,17:00-18:00
503,223,Fall,2015,130,350-D,13:00-14:00
504,626,Winter,2019,872,355-S,9:00-10:00
505,654,Summer,2021,990,420-P,9:00-10:00
506,171,Summer,2017,724,273-K,17:00-18:00
507,301,Spring,2016,655,390-U,15:00-16:00
508,615,Winter,2023,645,280-P,11:00-12:00
509,73,Fall,2024,417,142-M,17:00-18:00
510,788,Winter,2022,826,342-O,14:00-15:00
511,557,Summer,2017,94,199-E,9:00-10:00
512,866,Summer,2019,284,310-T,10:00-11:00
513,237,Spring,2019,369,406-H,14:00-15:00
514,758,Spring,2019,770,412-M,12:00-13:00
515,264,Fall,2022,414,402-Q,10:00-11:00
516,561,Winter,2017,501,271-X,8:00-9:00
517,139,Fall,2020,144,309-R,12:00-13:00
518,334,Summer,2025,156,386-D,12:00-13:00
519,436,Winter,2015,707,189-I,16:00-17:00
520,262,Fall,2019,883,370-Q,16:00-17:00
521,719,Fall,2021,510,254-Z,11:00-12:00
522,393,Winter,2023,767,454-V,13:00-14:00
523,562,Winter,2020,366,263-A,9:00-10:00
524,536,Spring,2021,196,294-F,10:00-11:00
525,602,Summer,2017,797,491-H,16:00-17:00
526,493,Summer,2025,111,188-A,15:00-16:00
527,62,Summer,2025,174,386-J,17:00-18:00
528,454,Winter,2017,291,118-F,9:00-10:00
529,340,Summer,2020,596,285-D,9:00-10:00
530,654,Summer,2017,35,259-E,8:00-9:00
531,450,Winter,2020,745,434-X,16:00-17:00
532,677,Spring,2024,84,494-D,12:00-13:00
533,815,Winter,2025,312,467-C,17:00-18:00
534,341,Spring,2022,373,468-I,8:00-9:00
535,648,Summer,2016,646,335-J,16:00-17:00
536,659,Summer,2017,302,298-U,16:00-17:00
537,672,Summer,2016,1000,236-A,8:00-9:00
538,557,Fall,2020,854,499-T,16:00-17:00
539,297,Fall,2024,857,218-U,12:00-13:00
540,817,Fall,2016,350,429-B,9:00-10:00
541,503,Winter,2015,265,120-H,13:00-14:00
542,513,Summer,2020,153,442-C,12:00-13:00
543,667,Winter,2025,645,127-I,16:00-17:00
544,486,Winter,2020,13,162-O,13:00-14:00
545,84,Fall,2019,519,234-S,15:00-16:00
546,796,Summer,2025,575,199-F,9:00-10:00
547,870,Spring,2025,70,379-O,10:00-11:00
548,704,Summer,2015,534,216-L,17:00-18:00
549,766,Fall,2022,943,273-V,16:00-17:00
550,540,Winter,2019,290,190-N,17:00-18:00
551,59,Summer,2024,227,287-Z,16:00-17:00
552,629,Summer,2019,167,446-X,13:00-14:00
553,781,Fall,2015,805,479-I,11:00-12:00
554,390,Spring,2022,10,248-X,12:00-13:00
555,599,Summer,2017,126,349-U,9:00-10:00
