course_id,dept_id,name,credits,description
164,3941,Financial Accounting,5,This is the Financial Accounting course offered by department 3941.
165,3145,Database Systems,5,This is the Database Systems course offered by department 3145.
166,4146,Calculus,1,This is the Calculus course offered by department 4146.
167,2034,Organic Chemistry,2,This is the Organic Chemistry course offered by department 2034.
168,4879,Computer Networks,4,This is the Computer Networks course offered by department 4879.
169,3772,Macroeconomics,2,This is the Macroeconomics course offered by department 3772.
170,4490,English Literature,3,This is the English Literature course offered by department 4490.
171,4156,Macroeconomics,1,This is the Macroeconomics course offered by department 4156.
172,554,Artificial Intelligence,5,This is the Artificial Intelligence course offered by department 554.
173,1246,Cyber Security,3,This is the Cyber Security course offered by department 1246.
174,158,Software Engineering,5,This is the Software Engineering course offered by department 158.
175,571,Data Structures,3,This is the Data Structures course offered by department 571.
176,4186,Organic Chemistry,1,This is the Organic Chemistry course offered by department 4186.
177,3810,Physical Chemistry,1,This is the Physical Chemistry course offered by department 3810.
178,2721,Cyber Security,1,This is the Cyber Security course offered by department 2721.
179,2299,Digital Marketing,5,This is the Digital Marketing course offered by department 2299.
180,1114,World History,3,This is the World History course offered by department 1114.
181,4742,Database Systems,1,This is the Database Systems course offered by department 4742.
182,265,Software Engineering,1,This is the Software Engineering course offered by department 265.
183,2042,Financial Accounting,2,This is the Financial Accounting course offered by department 2042.
184,1931,Digital Marketing,1,This is the Digital Marketing course offered by department 1931.
185,3561,Operating Systems,5,This is the Operating Systems course offered by department 3561.
186,514,Computer Networks,3,This is the Computer Networks course offered by department 514.
187,1522,Operating Systems,5,This is the Operating Systems course offered by department 1522.
188,579,World History,1,This is the World History course offered by department 579.
189,191,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 191.
190,2985,Linear Algebra,1,This is the Linear Algebra course offered by department 2985.
191,1410,Artificial Intelligence,4,This is the Artificial Intelligence course offered by department 1410.
192,2632,Linear Algebra,3,This is the Linear Algebra course offered by department 2632.
193,1325,World History,4,This is the World History course offered by department 1325.
194,1675,Physical Chemistry,2,This is the Physical Chemistry course offered by department 1675.
195,3312,English Literature,1,This is the English Literature course offered by department 3312.
196,4124,Linear Algebra,1,This is the Linear Algebra course offered by department 4124.
197,276,Physical Chemistry,4,This is the Physical Chemistry course offered by department 276.
198,888,Machine Learning,2,This is the Machine Learning course offered by department 888.
199,3327,Digital Marketing,2,This is the Digital Marketing course offered by department 3327.
200,4235,Software Engineering,4,This is the Software Engineering course offered by department 4235.
201,416,Macroeconomics,3,This is the Macroeconomics course offered by department 416.
202,2430,Cyber Security,1,This is the Cyber Security course offered by department 2430.
203,3746,Financial Accounting,5,This is the Financial Accounting course offered by department 3746.
204,112,Cyber Security,2,This is the Cyber Security course offered by department 112.
205,2046,Artificial Intelligence,5,This is the Artificial Intelligence course offered by department 2046.
206,3697,Physical Chemistry,3,This is the Physical Chemistry course offered by department 3697.
207,660,Financial Accounting,1,This is the Financial Accounting course offered by department 660.
208,1201,Computer Networks,4,This is the Computer Networks course offered by department 1201.
209,2067,Computer Networks,2,This is the Computer Networks course offered by department 2067.
210,948,Financial Accounting,2,This is the Financial Accounting course offered by department 948.
211,4444,Linear Algebra,2,This is the Linear Algebra course offered by department 4444.
212,745,Cyber Security,4,This is the Cyber Security course offered by department 745.
213,4508,English Literature,5,This is the English Literature course offered by department 4508.
214,1175,Software Engineering,5,This is the Software Engineering course offered by department 1175.
215,2413,Database Systems,5,This is the Database Systems course offered by department 2413.
216,3603,Linear Algebra,2,This is the Linear Algebra course offered by department 3603.
217,4622,Machine Learning,1,This is the Machine Learning course offered by department 4622.
218,1114,Data Structures,3,This is the Data Structures course offered by department 1114.
219,3552,Computer Networks,3,This is the Computer Networks course offered by department 3552.
220,2058,Software Engineering,2,This is the Software Engineering course offered by department 2058.
221,3856,Software Engineering,1,This is the Software Engineering course offered by department 3856.
222,2574,English Literature,3,This is the English Literature course offered by department 2574.
223,735,Organic Chemistry,4,This is the Organic Chemistry course offered by department 735.
224,1308,Physical Chemistry,1,This is the Physical Chemistry course offered by department 1308.
225,927,Microeconomics,5,This is the Microeconomics course offered by department 927.
226,1692,Microeconomics,4,This is the Microeconomics course offered by department 1692.
227,3451,Algorithms,4,This is the Algorithms course offered by department 3451.
228,4506,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 4506.
229,43,World History,4,This is the World History course offered by department 43.
230,2672,Introduction to Programming,5,This is the Introduction to Programming course offered by department 2672.
231,4474,Physical Chemistry,1,This is the Physical Chemistry course offered by department 4474.
232,85,Software Engineering,5,This is the Software Engineering course offered by department 85.
233,3922,Data Structures,4,This is the Data Structures course offered by department 3922.
234,1911,Computer Networks,2,This is the Computer Networks course offered by department 1911.
235,4352,Database Systems,4,This is the Database Systems course offered by department 4352.
236,2067,Database Systems,3,This is the Database Systems course offered by department 2067.
237,2775,Introduction to Programming,2,This is the Introduction to Programming course offered by department 2775.
238,132,World History,4,This is the World History course offered by department 132.
239,1550,Linear Algebra,1,This is the Linear Algebra course offered by department 1550.
240,748,Microeconomics,3,This is the Microeconomics course offered by department 748.
241,2606,Linear Algebra,4,This is the Linear Algebra course offered by department 2606.
242,2673,Linear Algebra,5,This is the Linear Algebra course offered by department 2673.
243,1215,Introduction to Programming,5,This is the Introduction to Programming course offered by department 1215.
244,549,Microeconomics,3,This is the Microeconomics course offered by department 549.
245,1390,Linear Algebra,5,This is the Linear Algebra course offered by department 1390.
246,3539,Microeconomics,5,This is the Microeconomics course offered by department 3539.
247,2493,Macroeconomics,2,This is the Macroeconomics course offered by department 2493.
248,545,Financial Accounting,5,This is the Financial Accounting course offered by department 545.
249,1701,English Literature,5,This is the English Literature course offered by department 1701.
250,555,Cyber Security,5,This is the Cyber Security course offered by department 555.
251,2858,Physical Chemistry,5,This is the Physical Chemistry course offered by department 2858.
252,2086,Financial Accounting,4,This is the Financial Accounting course offered by department 2086.
253,1589,Computer Networks,3,This is the Computer Networks course offered by department 1589.
254,4179,Operating Systems,2,This is the Operating Systems course offered by department 4179.
255,161,World History,5,This is the World History course offered by department 161.
256,3765,Data Structures,2,This is the Data Structures course offered by department 3765.
257,618,Organic Chemistry,1,This is the Organic Chemistry course offered by department 618.
258,4368,Database Systems,4,This is the Database Systems course offered by department 4368.
259,4394,World History,1,This is the World History course offered by department 4394.
260,3340,Operating Systems,5,This is the Operating Systems course offered by department 3340.
261,3302,Machine Learning,3,This is the Machine Learning course offered by department 3302.
262,1025,Algorithms,2,This is the Algorithms course offered by department 1025.
263,906,Algorithms,1,This is the Algorithms course offered by department 906.
264,1498,Computer Networks,1,This is the Computer Networks course offered by department 1498.
265,2741,Database Systems,2,This is the Database Systems course offered by department 2741.
266,253,English Literature,1,This is the English Literature course offered by department 253.
267,2404,Artificial Intelligence,1,This is the Artificial Intelligence course offered by department 2404.
268,2016,World History,4,This is the World History course offered by department 2016.
269,2881,Physical Chemistry,1,This is the Physical Chemistry course offered by department 2881.
270,1863,Artificial Intelligence,3,This is the Artificial Intelligence course offered by department 1863.
271,3126,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 3126.
272,1069,Macroeconomics,2,This is the Macroeconomics course offered by department 1069.
273,2837,Data Structures,5,This is the Data Structures course offered by department 2837.
274,1552,Data Structures,2,This is the Data Structures course offered by department 1552.
275,1367,Algorithms,1,This is the Algorithms course offered by department 1367.
276,3494,Machine Learning,2,This is the Machine Learning course offered by department 3494.
277,730,Software Engineering,1,This is the Software Engineering course offered by department 730.
278,2592,Computer Networks,2,This is the Computer Networks course offered by department 2592.
279,4982,Physical Chemistry,1,This is the Physical Chemistry course offered by department 4982.
280,2108,Microeconomics,3,This is the Microeconomics course offered by department 2108.
281,4657,Artificial Intelligence,1,This is the Artificial Intelligence course offered by department 4657.
282,1330,Database Systems,1,This is the Database Systems course offered by department 1330.
283,254,Computer Networks,2,This is the Computer Networks course offered by department 254.
284,2456,Software Engineering,2,This is the Software Engineering course offered by department 2456.
285,425,Microeconomics,5,This is the Microeconomics course offered by department 425.
286,2593,Software Engineering,1,This is the Software Engineering course offered by department 2593.
287,285,Organic Chemistry,5,This is the Organic Chemistry course offered by department 285.
288,4580,Data Structures,5,This is the Data Structures course offered by department 4580.
289,8,Operating Systems,3,This is the Operating Systems course offered by department 8.
290,371,Physical Chemistry,5,This is the Physical Chemistry course offered by department 371.
291,410,Linear Algebra,2,This is the Linear Algebra course offered by department 410.
292,3446,Operating Systems,1,This is the Operating Systems course offered by department 3446.
293,1163,Financial Accounting,4,This is the Financial Accounting course offered by department 1163.
294,972,Physical Chemistry,1,This is the Physical Chemistry course offered by department 972.
295,2455,Linear Algebra,5,This is the Linear Algebra course offered by department 2455.
296,977,Data Structures,4,This is the Data Structures course offered by department 977.
297,2227,English Literature,3,This is the English Literature course offered by department 2227.
298,1469,Calculus,5,This is the Calculus course offered by department 1469.
299,2793,Database Systems,4,This is the Database Systems course offered by department 2793.
300,3541,Calculus,1,This is the Calculus course offered by department 3541.
301,1365,Macroeconomics,1,This is the Macroeconomics course offered by department 1365.
302,4776,Software Engineering,5,This is the Software Engineering course offered by department 4776.
303,1302,Machine Learning,1,This is the Machine Learning course offered by department 1302.
304,3825,Linear Algebra,3,This is the Linear Algebra course offered by department 3825.
305,1171,Artificial Intelligence,3,This is the Artificial Intelligence course offered by department 1171.
306,3001,Calculus,1,This is the Calculus course offered by department 3001.
307,3359,English Literature,1,This is the English Literature course offered by department 3359.
308,2824,Organic Chemistry,1,This is the Organic Chemistry course offered by department 2824.
309,3528,Financial Accounting,1,This is the Financial Accounting course offered by department 3528.
310,2687,Software Engineering,3,This is the Software Engineering course offered by department 2687.
311,1254,English Literature,2,This is the English Literature course offered by department 1254.
312,1419,Database Systems,2,This is the Database Systems course offered by department 1419.
313,419,Linear Algebra,4,This is the Linear Algebra course offered by department 419.
314,2851,Microeconomics,1,This is the Microeconomics course offered by department 2851.
315,2907,Software Engineering,2,This is the Software Engineering course offered by department 2907.
316,255,Operating Systems,2,This is the Operating Systems course offered by department 255.
317,704,Physical Chemistry,2,This is the Physical Chemistry course offered by department 704.
318,3869,Calculus,3,This is the Calculus course offered by department 3869.
319,206,Organic Chemistry,3,This is the Organic Chemistry course offered by department 206.
320,3795,Data Structures,3,This is the Data Structures course offered by department 3795.
321,963,Computer Networks,4,This is the Computer Networks course offered by department 963.
322,1426,Cyber Security,3,This is the Cyber Security course offered by department 1426.
323,4846,Linear Algebra,4,This is the Linear Algebra course offered by department 4846.
324,994,World History,5,This is the World History course offered by department 994.
325,4039,Cyber Security,3,This is the Cyber Security course offered by department 4039.
326,4925,Operating Systems,3,This is the Operating Systems course offered by department 4925.
327,3369,Microeconomics,5,This is the Microeconomics course offered by department 3369.
328,4173,Linear Algebra,3,This is the Linear Algebra course offered by department 4173.
329,2117,Organic Chemistry,4,This is the Organic Chemistry course offered by department 2117.
330,4653,Introduction to Programming,4,This is the Introduction to Programming course offered by department 4653.
331,4857,Artificial Intelligence,5,This is the Artificial Intelligence course offered by department 4857.
332,1318,Machine Learning,5,This is the Machine Learning course offered by department 1318.
333,2260,World History,1,This is the World History course offered by department 2260.
334,473,Machine Learning,4,This is the Machine Learning course offered by department 473.
335,3470,Physical Chemistry,3,This is the Physical Chemistry course offered by department 3470.
336,3164,Database Systems,4,This is the Database Systems course offered by department 3164.
337,2248,Operating Systems,3,This is the Operating Systems course offered by department 2248.
338,478,World History,2,This is the World History course offered by department 478.
339,105,Artificial Intelligence,3,This is the Artificial Intelligence course offered by department 105.
340,1060,Microeconomics,5,This is the Microeconomics course offered by department 1060.
341,3679,Linear Algebra,3,This is the Linear Algebra course offered by department 3679.
342,89,Operating Systems,1,This is the Operating Systems course offered by department 89.
343,1805,Organic Chemistry,3,This is the Organic Chemistry course offered by department 1805.
344,2403,Microeconomics,3,This is the Microeconomics course offered by department 2403.
345,4617,English Literature,2,This is the English Literature course offered by department 4617.
346,1898,Macroeconomics,5,This is the Macroeconomics course offered by department 1898.
347,2372,Digital Marketing,5,This is the Digital Marketing course offered by department 2372.
348,299,Database Systems,3,This is the Database Systems course offered by department 299.
349,3186,Organic Chemistry,1,This is the Organic Chemistry course offered by department 3186.
350,1561,Software Engineering,4,This is the Software Engineering course offered by department 1561.
351,4658,Computer Networks,2,This is the Computer Networks course offered by department 4658.
352,1454,English Literature,3,This is the English Literature course offered by department 1454.
353,2055,Computer Networks,2,This is the Computer Networks course offered by department 2055.
354,2234,Data Structures,2,This is the Data Structures course offered by department 2234.
355,4673,Machine Learning,4,This is the Machine Learning course offered by department 4673.
356,4977,Organic Chemistry,5,This is the Organic Chemistry course offered by department 4977.
357,1319,Physical Chemistry,2,This is the Physical Chemistry course offered by department 1319.
358,2819,Linear Algebra,4,This is the Linear Algebra course offered by department 2819.
359,1480,Algorithms,5,This is the Algorithms course offered by department 1480.
360,3343,Software Engineering,3,This is the Software Engineering course offered by department 3343.
361,3861,Introduction to Programming,2,This is the Introduction to Programming course offered by department 3861.
362,1637,Physical Chemistry,2,This is the Physical Chemistry course offered by department 1637.
363,3421,Organic Chemistry,4,This is the Organic Chemistry course offered by department 3421.
364,894,Macroeconomics,5,This is the Macroeconomics course offered by department 894.
365,3652,Algorithms,2,This is the Algorithms course offered by department 3652.
366,1110,Digital Marketing,3,This is the Digital Marketing course offered by department 1110.
367,4478,Computer Networks,1,This is the Computer Networks course offered by department 4478.
368,936,Calculus,4,This is the Calculus course offered by department 936.
369,4513,Operating Systems,1,This is the Operating Systems course offered by department 4513.
370,3654,Digital Marketing,2,This is the Digital Marketing course offered by department 3654.
371,3925,Operating Systems,2,This is the Operating Systems course offered by department 3925.
372,1265,Physical Chemistry,5,This is the Physical Chemistry course offered by department 1265.
373,3965,Linear Algebra,5,This is the Linear Algebra course offered by department 3965.
374,497,Operating Systems,2,This is the Operating Systems course offered by department 497.
375,1747,Introduction to Programming,3,This is the Introduction to Programming course offered by department 1747.
376,2999,Database Systems,3,This is the Database Systems course offered by department 2999.
377,4804,Calculus,5,This is the Calculus course offered by department 4804.
378,4912,Financial Accounting,5,This is the Financial Accounting course offered by department 4912.
379,4070,English Literature,4,This is the English Literature course offered by department 4070.
380,3596,Artificial Intelligence,5,This is the Artificial Intelligence course offered by department 3596.
381,2820,English Literature,2,This is the English Literature course offered by department 2820.
382,443,World History,2,This is the World History course offered by department 443.
383,442,Database Systems,1,This is the Database Systems course offered by department 442.
384,917,Calculus,3,This is the Calculus course offered by department 917.
385,1395,Linear Algebra,1,This is the Linear Algebra course offered by department 1395.
386,1900,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 1900.
387,1109,Machine Learning,4,This is the Machine Learning course offered by department 1109.
388,4716,Computer Networks,5,This is the Computer Networks course offered by department 4716.
389,497,Database Systems,5,This is the Database Systems course offered by department 497.
390,1185,Cyber Security,3,This is the Cyber Security course offered by department 1185.
391,2986,Digital Marketing,3,This is the Digital Marketing course offered by department 2986.
392,3041,Physical Chemistry,3,This is the Physical Chemistry course offered by department 3041.
393,3656,Computer Networks,5,This is the Computer Networks course offered by department 3656.
394,2752,Organic Chemistry,5,This is the Organic Chemistry course offered by department 2752.
395,4825,Algorithms,1,This is the Algorithms course offered by department 4825.
396,4563,Financial Accounting,4,This is the Financial Accounting course offered by department 4563.
397,2012,Computer Networks,4,This is the Computer Networks course offered by department 2012.
398,1230,Algorithms,1,This is the Algorithms course offered by department 1230.
399,3124,Operating Systems,1,This is the Operating Systems course offered by department 3124.
400,857,Organic Chemistry,1,This is the Organic Chemistry course offered by department 857.
401,3975,Physical Chemistry,3,This is the Physical Chemistry course offered by department 3975.
402,4726,Cyber Security,2,This is the Cyber Security course offered by department 4726.
403,1703,Macroeconomics,3,This is the Macroeconomics course offered by department 1703.
404,3887,Machine Learning,2,This is the Machine Learning course offered by department 3887.
405,2135,Organic Chemistry,1,This is the Organic Chemistry course offered by department 2135.
406,2363,Digital Marketing,1,This is the Digital Marketing course offered by department 2363.
407,4975,English Literature,4,This is the English Literature course offered by department 4975.
408,4335,Digital Marketing,4,This is the Digital Marketing course offered by department 4335.
409,1671,Cyber Security,1,This is the Cyber Security course offered by department 1671.
410,1372,Computer Networks,4,This is the Computer Networks course offered by department 1372.
411,703,English Literature,3,This is the English Literature course offered by department 703.
412,3209,English Literature,2,This is the English Literature course offered by department 3209.
413,3542,Organic Chemistry,4,This is the Organic Chemistry course offered by department 3542.
414,2055,Machine Learning,1,This is the Machine Learning course offered by department 2055.
415,811,Financial Accounting,1,This is the Financial Accounting course offered by department 811.
416,700,World History,4,This is the World History course offered by department 700.
417,2893,Artificial Intelligence,1,This is the Artificial Intelligence course offered by department 2893.
418,51,English Literature,3,This is the English Literature course offered by department 51.
419,1229,Artificial Intelligence,2,This is the Artificial Intelligence course offered by department 1229.
420,1195,Algorithms,1,This is the Algorithms course offered by department 1195.
421,3433,Linear Algebra,4,This is the Linear Algebra course offered by department 3433.
422,255,Software Engineering,2,This is the Software Engineering course offered by department 255.
423,1299,Database Systems,5,This is the Database Systems course offered by department 1299.
424,832,Linear Algebra,4,This is the Linear Algebra course offered by department 832.
